"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","26-Apr-2017","       1537.05","       1542.95","       1553.00","       1468.45","       1552.95","       1550.65","       1546.13","    1948963","          3013353454.50","      41591","     986789","         50.63"
"HDFCBANK","EQ","27-Apr-2017","       1550.65","       1546.10","       1573.95","       1546.10","       1554.00","       1568.60","       1565.15","    4045105","          6331191310.55","      41855","    2592498","         64.09"
"HDFCBANK","EQ","28-Apr-2017","       1568.60","       1559.90","       1559.90","       1537.10","       1545.00","       1546.50","       1544.82","    1359432","          2100076746.55","      25722","     886321","         65.20"
"HDFCBANK","EQ","02-May-2017","       1546.50","       1547.00","       1550.90","       1530.35","       1542.85","       1540.60","       1540.81","    1001760","          1543518049.65","      17111","     654978","         65.38"
"HDFCBANK","EQ","03-May-2017","       1540.60","       1554.25","       1554.25","       1539.35","       1541.05","       1544.30","       1543.93","     626991","           968031267.20","      13977","     329255","         52.51"
"HDFCBANK","EQ","04-May-2017","       1544.30","       1539.25","       1542.90","       1522.60","       1533.50","       1534.80","       1529.35","    1282757","          1961782631.70","      28722","     768776","         59.93"
"HDFCBANK","IL","04-May-2017","       1565.00","       1567.00","       1567.00","       1567.00","-","       1567.00","       1567.00","      31000","            48577000.00","          3","      31000","        100.00"
"HDFCBANK","EQ","05-May-2017","       1534.80","       1542.10","       1542.90","       1526.30","       1531.00","       1532.20","       1531.86","     689474","          1056176850.60","      20311","     322076","         46.71"
"HDFCBANK","EQ","08-May-2017","       1532.20","       1538.00","       1540.00","       1528.55","       1532.60","       1534.80","       1533.56","     936813","          1436656654.50","      35872","     603334","         64.40"
"HDFCBANK","EQ","09-May-2017","       1534.80","       1534.80","       1545.60","       1532.65","       1533.90","       1535.75","       1537.87","     836459","          1286367997.95","      25182","     595730","         71.22"
"HDFCBANK","EQ","10-May-2017","       1535.75","       1540.00","       1555.00","       1537.05","       1554.00","       1551.80","       1548.16","     585561","           906540275.60","      11399","     308047","         52.61"
"HDFCBANK","EQ","11-May-2017","       1551.80","       1551.00","       1560.00","       1541.00","       1543.00","       1546.40","       1551.42","     968936","          1503227834.75","      26482","     628863","         64.90"
"HDFCBANK","EQ","12-May-2017","       1546.40","       1545.90","       1556.90","       1536.20","       1554.00","       1551.65","       1542.32","    1536901","          2370390260.75","      18358","     995615","         64.78"
"HDFCBANK","EQ","15-May-2017","       1551.65","       1550.00","       1557.20","       1542.25","       1553.00","       1553.40","       1550.73","     701195","          1087367599.80","      15104","     309282","         44.11"
"HDFCBANK","IL","15-May-2017","       1567.00","       1583.00","       1583.00","       1583.00","-","       1583.00","       1583.00","     342000","           541386000.00","          6","     342000","        100.00"
"HDFCBANK","EQ","16-May-2017","       1553.40","       1555.00","       1562.00","       1548.25","       1561.85","       1559.65","       1555.11","     897594","          1395856787.25","      21073","     347734","         38.74"
"HDFCBANK","EQ","17-May-2017","       1559.65","       1558.80","       1565.40","       1551.50","       1557.50","       1557.15","       1557.51","     868118","          1352102516.90","      32732","     367931","         42.38"
"HDFCBANK","IL","17-May-2017","       1583.00","       1600.00","       1600.00","       1600.00","-","       1600.00","       1600.00","      50000","            80000000.00","          1","      50000","        100.00"
"HDFCBANK","EQ","18-May-2017","       1557.15","       1549.00","       1561.50","       1548.10","       1557.50","       1557.10","       1556.99","     776820","          1209499656.15","      13648","     518101","         66.70"
"HDFCBANK","IL","18-May-2017","       1600.00","       1596.00","       1597.50","       1596.00","-","       1597.00","       1596.99","     680000","          1085951250.00","         15","     680000","        100.00"
"HDFCBANK","EQ","19-May-2017","       1557.10","       1559.50","       1569.90","       1545.25","       1568.05","       1561.25","       1556.93","     713534","          1110925609.25","      18458","     296680","         41.58"
"HDFCBANK","IL","19-May-2017","       1597.00","       1580.00","       1580.00","       1580.00","-","       1580.00","       1580.00","     865000","          1366700000.00","         18","     865000","        100.00"
"HDFCBANK","EQ","22-May-2017","       1561.25","       1565.10","       1580.00","       1563.10","       1579.00","       1576.00","       1572.46","     715013","          1124331912.15","      24974","     413491","         57.83"
"HDFCBANK","EQ","23-May-2017","       1576.00","       1580.00","       1583.55","       1565.00","       1569.00","       1569.10","       1575.09","     770043","          1212889747.95","      17873","     489628","         63.58"
"HDFCBANK","IL","23-May-2017","       1580.00","       1590.25","       1590.25","       1585.00","-","       1585.00","       1585.00","     300000","           475500210.00","         28","     173000","         57.67"
"HDFCBANK","EQ","24-May-2017","       1569.10","       1569.05","       1575.45","       1562.00","       1567.00","       1566.75","       1566.76","     866847","          1358143699.60","      34901","     615909","         71.05"
"HDFCBANK","EQ","25-May-2017","       1566.75","       1567.10","       1629.40","       1567.10","       1613.25","       1617.15","       1605.26","    5022701","          8062757340.00","      60075","    3585041","         71.38"
"HDFCBANK","IL","25-May-2017","       1585.00","       1570.00","       1570.00","       1570.00","-","       1570.00","       1570.00","         48","               75360.00","          1","         48","        100.00"
"HDFCBANK","EQ","26-May-2017","       1617.15","       1606.65","       1632.00","       1601.10","       1623.00","       1626.00","       1617.56","    1360789","          2201159155.00","      31085","     754482","         55.44"
"HDFCBANK","IL","26-May-2017","       1570.00","       1628.05","       1628.05","       1628.05","-","       1628.05","       1628.05","     250000","           407012500.00","         10","     250000","        100.00"
"HDFCBANK","EQ","29-May-2017","       1626.00","       1619.80","       1648.00","       1617.65","       1626.65","       1631.90","       1634.94","    1479085","          2418209870.85","      48257","     924191","         62.48"
"HDFCBANK","IL","29-May-2017","       1628.05","       1646.00","       1646.00","       1646.00","-","       1646.00","       1646.00","     451322","           742876012.00","         18","     451322","        100.00"
